Altitude(m)	beta_aerosol(m^-1 sr^-1)	beta_molecular(m^-1 sr^-1)
0.0	-1.50776100989e-06	1.50776100989e-06
7.47146	-1.5066797619e-06	1.50667976175e-06
14.94292	-1.50554820013e-06	1.50559910692e-06
22.41438	-1.50441343725e-06	1.50451904516e-06
29.88584	-1.50326588592e-06	1.50343957626e-06
37.3573	-1.50210337674e-06	1.50236069998e-06
44.82876	-1.50091182681e-06	1.5012824161e-06
52.30022	-1.4997106734e-06	1.50020472441e-06
59.77168	-1.49845112634e-06	1.49912762466e-06
67.24314	-1.49712606389e-06	1.49805111664e-06
74.7146	-1.49566814173e-06	1.49697520012e-06
82.18606	-1.49377442082e-06	1.49589987487e-06
89.65752	-1.49107501055e-06	1.49482514068e-06
97.12898	-1.48713227914e-06	1.49375099731e-06
104.60044	-1.48201514438e-06	1.49267744454e-06
112.0719	-1.47527061479e-06	1.49160448214e-06
119.54336	-1.46605352077e-06	1.4905321099e-06
127.01482	-1.45351806326e-06	1.48946032757e-06
134.48628	-1.43782702374e-06	1.48838913495e-06
141.95774	-1.41835133358e-06	1.48731853181e-06
149.4292	-1.39560889549e-06	1.48624851791e-06
156.90066	-1.36996191798e-06	1.48517909304e-06
164.37212	-1.3409894061e-06	1.48411025697e-06
171.84358	-1.30935018807e-06	1.48304200948e-06
179.31504	-1.27325327682e-06	1.48197435034e-06
186.7865	-1.23393741431e-06	1.48090727933e-06
194.25796	-1.19113119804e-06	1.47984079622e-06
201.72942	-1.14995408357e-06	1.47877490078e-06
209.20088	-1.10508961975e-06	1.4777095928e-06
216.67234	-1.05759244355e-06	1.47664487205e-06
224.1438	-1.01010747197e-06	1.47558073831e-06
231.61526	-9.58309326462e-07	1.47451719134e-06
239.08672	-9.04814320118e-07	1.47345423094e-06
246.55818	-8.56722461775e-07	1.47239185686e-06
254.02964	-8.04835482787e-07	1.47133006889e-06
261.5011	-7.55409517586e-07	1.47026886681e-06
268.97256	-7.00262235949e-07	1.46920825039e-06
276.44402	-6.5054159137e-07	1.4681482194e-06
283.91548	-5.96250229193e-07	1.46708877362e-06
291.38694	-5.48362113948e-07	1.46602991284e-06
298.8584	-4.92195028145e-07	1.46497163681e-06
306.32986	-4.3934090539e-07	1.46391394533e-06
313.80132	-3.88265474526e-07	1.46285683817e-06
321.27278	-3.369603111e-07	1.4618003151e-06
