Altitude(m)	Range Corrected Signal(m^-1 sr^-1)
0.0	0.0
7.47146	-355.311577994
14.94292	675373.344669
22.41438	871488.309794
29.88584	1184901.87028
37.3573	1480188.12068
44.82876	2016922.68356
52.30022	2646784.60641
59.77168	3717828.51434
67.24314	5017369.86498
74.7146	9147305.38265
82.18606	17978142.5859
89.65752	37271455.4869
97.12898	67487669.8351
104.60044	112318899.97
112.0719	178549950.26
119.54336	257654570.935
127.01482	363787951.008
134.48628	488203899.212
141.95774	630226290.828
149.4292	814690874.844
156.90066	1009173809.04
164.37212	1197706670.99
171.84358	1429694628.49
179.31504	1686330841.56
186.7865	1937105238.08
194.25796	2184494504.45
201.72942	2515653751.69
209.20088	2791316248.31
216.67234	3104346820.04
224.1438	3428640700.13
231.61526	3750668193.08
239.08672	4035191489.46
246.55818	4414615592.7
254.02964	4738362972.88
261.5011	5076374076.5
268.97256	5430716297.8
276.44402	5710629885.6
283.91548	6123840929.64
291.38694	6430606054.79
298.8584	6757195348.16
306.32986	7133904578.43
313.80132	7479644665.68
321.27278	7894969400.52
328.74424	8182906883.34
336.2157	8602491647.14
343.68716	9055574799.66
351.15862	9526206005.04
358.63008	9857047602.61
366.10154	10269757636.1
373.573	10781548146.4
381.04446	11112291987.8
388.51592	11626454267.9
395.98738	11924255425.1
403.45884	12342335400.0
410.9303	12644115351.3
418.40176	13060114787.9
425.87322	13150564709.4
433.34468	13545051888.3
440.81614	13835821204.4
448.2876	14148439266.9
455.75906	14328403706.7
463.23052	14299700454.3
470.70198	14606950147.4
478.17344	14949042998.4
485.6449	14830694540.5
493.11636	14870346876.4
500.58782	15041713759.6
508.05928	15251176032.0
515.53074	15114884985.9
523.0022	15298505837.5
530.47366	15342795106.6
537.94512	15464915601.4
545.41658	15565790432.6
552.88804	15432404978.3
560.3595	15466719793.5
567.83096	15400524319.0
575.30242	15293142805.0
582.77388	15339057011.4
590.24534	15088276352.1
597.7168	15168642805.1
605.18826	15402629085.1
612.65972	14964393841.9
620.13118	15165473499.2
627.60264	15312532358.5
635.0741	15166668013.7
642.54556	15034733740.1
650.01702	15384721441.9
657.48848	15050489197.7
664.95994	15327279172.0
672.4314	15087642901.9
679.90286	15090104568.4
687.37432	15329553266.8
694.84578	15347891780.8
702.31724	15259973168.2
709.7887	15203492472.2
717.26016	14882172924.0
724.73162	15232700470.5
732.20308	14916844768.2
739.67454	14949264149.9
747.146	15270658034.4
754.61746	14865219424.7
762.08892	14721968118.3
769.56038	14598677410.9
777.03184	14683672263.5
784.5033	14695381285.3
791.97476	14328076587.0
799.44622	14509577737.9
806.91768	14520954548.1
814.38914	14379903655.4
821.8606	13921553286.4
829.33206	14208836978.6
836.80352	14127789297.1
844.27498	14020520585.2
851.74644	13716234269.9
859.2179	13906985756.0
866.68936	13736765200.0
874.16082	13979211787.6
881.63228	13854651674.4
889.10374	13973476490.4
896.5752	13789703412.0
904.04666	13669867564.6
911.51812	13805354278.0
918.98958	13665223387.1
926.46104	13684901164.5
933.9325	13832375851.0
941.40396	13512199390.2
948.87542	13714924750.2
956.34688	13447935085.5
963.81834	13548335318.7
971.2898	13476180020.3
978.76126	13486002737.8
986.23272	13522467140.0
993.70418	13755777632.6
1001.17564	13309875141.7
1008.6471	13762596118.1
1016.11856	13640972551.0
1023.59002	13371878896.4
1031.06148	13660289888.6
1038.53294	13496589381.7
1046.0044	13475940792.1
1053.47586	13874456886.7
1060.94732	13575561904.6
1068.41878	13302842152.6
1075.89024	13056626538.2
1083.3617	13039073895.8
1090.83316	13728827829.6
1098.30462	13625619951.1
1105.77608	13455815533.4
1113.24754	13097921629.9
1120.719	12887471216.7
1128.19046	13292801852.4
1135.66192	13186998013.9
1143.13338	13014792122.5
1150.60484	13035876358.7
1158.0763	13114525551.5
1165.54776	13175610979.5
1173.01922	13565226327.6
1180.49068	13221571985.2
1187.96214	12968909575.7
1195.4336	13326905867.0
1202.90506	13259601918.1
1210.37652	13169917039.2
1217.84798	13561416103.6
1225.31944	13521130002.9
1232.7909	13063417456.0
1240.26236	12879211830.7
1247.73382	12731266702.1
1255.20528	12766027937.7
1262.67674	13130505661.0
1270.1482	12936275006.4
1277.61966	13010563123.2
1285.09112	13189601741.6
1292.56258	13243171958.0
1300.03404	12989403368.3
1307.5055	12863895016.5
1314.97696	12935247771.3
1322.44842	12662928054.9
1329.91988	13220288911.2
1337.39134	12975753306.5
1344.8628	13160929194.7
